Filename,Frame,Time (mins),Period,Period time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Fish ID,Length/FID,School/Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Perspex 1,FID Speed time (0.1 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Perspex 2,FID Speed time (0.1 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,no response,Perspex 3,FID Speed time (0.1 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD2_CAM7_RIG1,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,no response,Turtle 1,FID Speed time (3.04 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD3_CAM2_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,FID Speed time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM3_RIG2,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 1b,FID Speed time (0.43 sec),School
,,,Shark,,0,NA,,,,,,,,,LIZARD3_CAM6_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Shark 1,FID Speed time (5.97 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,FID Speed time (3 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2a,FID Speed time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2b,FID Speed time (3 sec),School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,no response,Perspex 2c,FID Speed time (3 sec),School
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Lethrinidae,Lethrinus,atkinsoni,,,,flight,Pipe 1,FID Speed time (3 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Pipe 2,FID Speed time (1.03 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,FID Speed time (3.93 sec),Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,FID Speed time (0.33 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,FID Speed time (1.87 sec),Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD5_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Pipe 1,FID Speed time (3.84 sec),Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,DFS.prior.1,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,hide,Pipe 1a,DFS.prior.1,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,no response,Perspex 1,DFS.prior.1,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,flight,Pipe 3,DFS.prior.1,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Perspex 2,DFS.prior.1,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,no response,Perspex 1,DFS.prior.1,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,DFS.prior.1,Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Shark 2,DFS.prior.1,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,DFS.prior.1,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Perspex 1,DFS.prior.1,Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Shark 5,DFS.prior.1,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,C- turn,Diver 2,DFS.prior.1,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,flight,Diver 1,DFS.prior.1,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,no response,Turtle 1,DFS.prior.1,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,DFS.prior.2,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,DFS.prior.3,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM10_RIG2,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,no response,Turtle 1,DFS.FID,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD1_CAM2_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,,Turtle 1b,DFS.FID,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,,Perspex 1,DFS.prior.2,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,,Perspex 1,DFS.FID,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD1_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,Lutjanus.sp,,,,,Perspex 2,DFS.FID,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,,Diver 1,DFS.prior.3,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Diagramma,pictum,,,,,Diver 1,DFS.FID,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,,Pipe 2,DFS.prior.2,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,,Pipe 2,DFS.prior.3,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Haemulidae,Plectorhinchus,chrysotaenia,,,,,Pipe 2,DFS.FID,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,,Pipe 3,DFS.prior.2,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,,Pipe 3,DFS.prior.3,Individual
,,,Pipe,,0,NA,,,,,,,,,LIZARD2_CAM5_RIG3,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,,Pipe 3,DFS.FID,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,,Perspex 2,DFS.prior.2,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD3_CAM1_RIG1,Andrea Asunsolo,,Haemulidae,Plectorhinchus,albovittatus,,,,,Perspex 2,DFS.prior.3,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Perspex 1,DFS.prior.2,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM2_RIG3,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Perspex 1,DFS.prior.3,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Turtle 1,DFS.prior.2,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Turtle 1,DFS.prior.3,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Turtle 1,DFS.FID,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Perspex 1,DFS.prior.2,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Perspex 1,DFS.prior.3,Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Shark 5,DFS.prior.2,Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Shark 5,DFS.prior.3,Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Shark 5,DFS.FID,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,,Diver 2,DFS.prior.3,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,carponotatus,,,,,Diver 2,DFS.FID,Individual
,,,Shark,,0,NA,,,,,,,,,LIZARD4_CAM4_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,bohar,,,,,Shark 3,DFS.prior.2,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Diver 1,DFS.prior.2,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Diver 1,DFS.prior.3,Individual
,,,Diver,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Diver 1,DFS.FID,Individual
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,,Perspex 3a,DFF.prior.1,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,,Perspex 3a,DFF.prior.2,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,,Perspex 3b,DFF.prior.1,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,,Perspex 3b,DFF.prior.2,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,,Perspex 3c,DFF.prior.1,School
,,,Perspex,,0,NA,,,,,,,,,LIZARD4_CAM5_RIG1,Andrea Asunsolo,,Lutjanidae,Lutjanus,fulviflamma,,,,,Perspex 3c,DFF.prior.2,School
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Turtle 1,DFS.prior.2,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Turtle 1,DFS.prior.3,Individual
,,,Turtle,,0,NA,,,,,,,,,LIZARD4_CAM7_RIG2,Andrea Asunsolo,,Serranidae,Plectropomus,Plectropomus.sp,,,,,Turtle 1,DFS.FID,Individual
