"","uniqueID","FID","Length","Treatment","Genus","Species","Activity","School.Individual","speed.FID","SpeedAvg","DFS.FID","DFSAvg"
"73","Perspex 3bLIZARD1_CAM2_RIG3",827.549,94.917,"Perspex","Lutjanus","sp","no response","School",0,NA,107.263,NA
"74","Perspex 3bLIZARD1_CAM4_RIG2",1213.658,144.42,"Perspex","Lutjanus","sp","no response","School",0,0,97.75,122.434
"75","Perspex 3bLIZARD4_CAM5_RIG1",2159.205,257.292,"Perspex","Lutjanus","fulviflamma","flight","School",0.20626039,0.031257111,458.381,365.134666666667
"76","Perspex 3cLIZARD1_CAM2_RIG3",848.275,82.669,"Perspex","Lutjanus","sp","no response","School",0,0,83.733,NA
"77","Perspex 3cLIZARD1_CAM4_RIG2",1129.939,102.232,"Perspex","Lutjanus","sp","no response","School",0,0.006556111,183.358,167.933
"78","Perspex 3cLIZARD4_CAM5_RIG1",1858.065,264.79,"Perspex","Lutjanus","fulviflamma","flight","School",0.537731169,0.117647444666667,665.911,825.620333333333
"79","Perspex 3LIZARD2_CAM2_RIG1",1352.928,245.944,"Perspex","Diagramma","pictum","flight","Individual",NA,0.05309,243.027,146.874333333333
"80","Perspex 3LIZARD2_CAM2_RIG1",1352.928,245.944,"Perspex","Lutjanus","fulvus","flight","Individual",NA,0.05309,243.027,146.874333333333
"81","Perspex 3LIZARD2_CAM5_RIG3",1037.27,237.858,"Perspex","Lutjanus","carponotatus","no response","Individual",0,0.0310824443333333,84.67,102.916666666667
"82","Perspex 3LIZARD3_CAM2_RIG1",904.668,259.393,"Perspex","Lutjanus","fulviflamma","C- turn","Individual",0.169244444,0.106281777666667,142.893,257.734666666667
"83","Perspex 4LIZARD2_CAM2_RIG1",1197.883,249.786,"Perspex","Diagramma","pictum","flight","Individual",NA,NA,214.81,123.122333333333
"84","Perspex 4LIZARD2_CAM2_RIG1",1197.883,249.786,"Perspex","Lutjanus","fulvus","flight","Individual",NA,NA,214.81,123.122333333333
"85","Perspex 4LIZARD3_CAM2_RIG1",909.594,258.433,"Perspex","Lutjanus","fulviflamma","no response","Individual",0.220987097,0.140066333333333,237.653,375.805666666667
"86","Pipe 1aLIZARD1_CAM2_RIG3",838.987,99.517,"Pipe","Lutjanus","sp","hide","School",0.193025758,0.0753146666666667,221.122,97.508
"87","Pipe 1aLIZARD3_CAM3_RIG2",1309.66,201.722,"Pipe","Lutjanus","fulviflamma","flight","School",0.192631098,0.113513,226.495,201.312
"88","Pipe 1bLIZARD1_CAM2_RIG3",967.251,84.482,"Pipe","Lutjanus","sp","C- turn","School",0.065126776,0.048679,92.899,101.668
"89","Pipe 1bLIZARD3_CAM3_RIG2",788.737,203.924,"Pipe","Lutjanus","fulviflamma","flight","School",0.091216216,0.087149,181.571,272.0635
"90","Pipe 1cLIZARD1_CAM2_RIG3",888.758,81.308,"Pipe","Lutjanus","sp","hide","School",0.115123009,0,241.093,193.87
