"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific","site"
"31","Perspex 1LIZARD2_CAM4_RIG1",112.339,282.862,212.514,199.036,1581.252,290.842,0,0,0,0.0306803333333333,"Perspex","LIZARD2_CAM4_RIG1","Haemulidae","Diagramma","pictum","no response","Individual",231.470666666667,0.0102267777777778,"Diagramma.pictum","2"
"32","Perspex 1LIZARD2_CAM5_RIG3",NA,NA,NA,NA,853.957,198.352,NA,0.022707,0.032853,0,"Perspex","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","no response","Individual",NA,0.01852,"Diagramma.pictum","2"
"33","Perspex 1LIZARD3_CAM1_RIG1",268.451,NA,283.778,291.882,911.769,365.923,1.35937,NA,NA,0.0951206666666667,"Perspex","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",287.83,0.0951206666666667,"Plectorhinchus.chrysotaenia","3"
"34","Perspex 1LIZARD3_CAM2_RIG1",529.816,NA,NA,NA,1338.549,326.044,0.155380459770115,NA,NA,NA,"Perspex","LIZARD3_CAM2_RIG1","Lutjanidae","Lutjanus","carponotatus","C- turn","Individual",NA,NA,"Lutjanus.carponotatus","3"
"35","Perspex 1LIZARD4_CAM2_RIG3",NA,NA,NA,NA,204.854,337.489,NA,0,0,0,"Diver","LIZARD4_CAM2_RIG3","Serranidae","Plectropomus","spp","no response","Individual",NA,0,"Plectropomus.spp","4"
"36","Perspex 1LIZARD4_CAM4_RIG1",670.343,NA,NA,NA,1003.186,632.7,NA,0,0,0,"Perspex","LIZARD4_CAM4_RIG1","Serranidae","Plectropomus","spp","no response","Individual",NA,0,"Plectropomus.spp","4"
"37","Perspex 1LIZARD4_CAM5_RIG1",374.528,157.596,227.675,488.025,1732.607,554.81,0.21726384180791,0.126791333333333,0.210993333333333,0.0661116666666667,"Perspex","LIZARD4_CAM5_RIG1","Haemulidae","Plectorhinchus","lineatus","C- turn","Individual",291.098666666667,0.134632111111111,"Plectorhinchus.lineatus","4"
"38","Perspex 2LIZARD1_CAM2_RIG3",314.162,228.732,346.662,332.772,839.79,169.91,0,0,0,0.0152536666666667,"Perspex","LIZARD1_CAM2_RIG3","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",302.722,0.00508455555555556,"Lutjanus.fulviflamma","1"
"39","Perspex 2LIZARD1_CAM4_RIG2",59.684,92.202,117.472,116.63,1113.429,204.075,NA,0,0,0,"Perspex","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","fulviflamma","no response","Individual",108.768,0,"Lutjanus.fulviflamma","1"
"40","Perspex 2LIZARD1_CAM5_RIG3",NA,105.057,56.592,96.47,862.17,124.233,0.0778939759036145,0,0,0.137739726027397,"Perspex","LIZARD1_CAM5_RIG3","Lutjanidae","Lutjanus","spp","no response","Individual",86.0396666666667,0.0459132420091324,"Lutjanus.spp","1"
"41","Perspex 2LIZARD2_CAM2_RIG1",664.22,654.717,619.906,632.052,2223.166,220.464,0.748461666666667,0,0,0.124651,"Perspex","LIZARD2_CAM2_RIG1","Lutjanidae","Lutjanus","fulvus","C- turn","Individual",635.558333333333,0.0415503333333333,"Lutjanus.fulvus","2"
"42","Perspex 2LIZARD2_CAM5_RIG3",NA,NA,NA,NA,845.935,284.196,NA,0.0259576666666667,0.023681,0,"Shark","LIZARD2_CAM5_RIG3","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",NA,0.0165462222222222,"Plectorhinchus.chrysotaenia","2"
